card_id,section,event_id,title,detail,sort_order
taiki_shuttle,chain,lesson_one,"(›) Lesson One: Party Hearty","Speed +7|Power +7|Taiki Shuttle bond +5",1
taiki_shuttle,chain,lesson_two,"(››) Lesson Two: The Show Must Go On","Top::!Randomly either|Power +15|Mile Corners ○ hint +2|Taiki Shuttle bond +5|!or|Power +10|!Event chain ended||Bot::Speed +10|Taiki Shuttle bond +5",2
taiki_shuttle,chain,lesson_three,"(›››) Lesson Three: Live in the Moment","Speed +10|Power +10|Guts +10|Mile Maven hint +1|Taiki Shuttle bond +5",3
taiki_shuttle,random,lets_hug,"Yes! Let's Hug ☆","Top::Speed +10|Taiki Shuttle bond +5||Bot::Speed +5|Power +5|Taiki Shuttle bond +5",1
taiki_shuttle,random,party_tonight,"Yeehaw! Party Tonight ☆","Speed +10|Power +5|Skill Pt +10",2
el_condor_pasa,chain,with_passion_and_joy,(❯) With Passion and Joy!,Top::Energy +10|Speed +5|Power +5|El Condor Pasa bond +5||Bot::Energy -10|Speed +15|Power +10|El Condor Pasa bond +5,1
el_condor_pasa,chain,muddy_heroes,(❯❯) Muddy Heroes,Energy -10|Speed +15|Power +15|Pace Chaser Corners ○ hint +1|El Condor Pasa bond +7,2
el_condor_pasa,random,blazing_fire,Blazing Fire!,Top::Stamina +10|El Condor Pasa bond +5||Bot::Energy -10|Power +20|El Condor Pasa bond +5,1
el_condor_pasa,random,secret_notebook,Secret Notebook!,Top::Power +10|El Condor Pasa bond +5||Bot::Sunny Days ○ hint +1|El Condor Pasa bond +5,2
seeking_the_pearl,chain,it_ll_all_turn_out_fine,"(›) It'll All Turn Out Fine","Speed +10|Wit +10|Maximum Energy +4|Seeking the Pearl bond +5",1
seeking_the_pearl,chain,re_start,(❯❯) Re: START!,Top::Energy +10|Wit +10|Updrafters hint +2|Seeking the Pearl bond +5||Bot::Power +20|Skill points +10|Light as a Feather hint +2|Seeking the Pearl bond +5,2
seeking_the_pearl,chain,you_are_me,(❯❯❯) You Are Me,Top::Energy +10|Wit +10|Updrafters hint +2|Seeking the Pearl bond +5||Bot::Power +20|Skill points +10|Light as a Feather hint +2|Seeking the Pearl bond +5|(›››)|You Are Me|Speed +14|Guts +7|Wit +7|Dauntless hint +1|Seeking the Pearl bond +5,3
seeking_the_pearl,random,full_power_passion,Full-Power Passion!,Top::Energy +10|Mood +1|Seeking the Pearl bond +5||Bot::Power +5|Guts +5|Seeking the Pearl bond +5,1
seeking_the_pearl,random,full_power_thinking,Full-Power Thinking!,Top::Energy +10|Mood +1|Seeking the Pearl bond +5||Bot::Power +5|Guts +5|Seeking the Pearl bond +5||Top::Wit +20|Seeking the Pearl bond +5||Bot::Energy -10|Uma Stan hint +3|Seeking the Pearl bond +5,2
air_shakur,chain,both_high_and_low,(❯) Both High and Low,Top::Speed +10|Power +10|Air Shakur bond +5||Bot::Eager hint +1|Air Shakur bond +5,1
air_shakur,chain,bpm_in_sync,(❯❯) BPM in Sync,Speed +15|End Closer Straightaways ○ hint +1|Air Shakur bond +5,2
air_shakur,chain,connected_eqs,(❯❯❯) Connected EQs,Speed +10|Skill points +10|Serenity hint +1|Air Shakur bond +5,3
air_shakur,random,verification_required,//Verification Required,Top::Energy +10|Guts +5|Air Shakur bond +5||Bot::Energy -10|Stamina +5|Guts +10|Air Shakur bond +5,1
air_shakur,random,absolute_desire,//Absolute Desire,Top::Pace Strategy hint +1|Air Shakur bond +5||Bot::Maximum Energy +4|Guts +5|Air Shakur bond +5,2
narita_top_road,chain,anything_for_my_classmates,(❯) Anything for My Classmates,(›) Anything for My Classmates(››) Great Expectations(›››) Rivals Know Best|(›)|Anything for My Classmates|Mood +1|Energy -10|Speed +7|Stamina +7|Wit +7|Pace Chaser Savvy ○ hint +1|Narita Top Road bond +5,1
narita_top_road,chain,great_expectations,(❯❯) Great Expectations,Top::Energy -10|Speed +15|Stamina +15|Pressure hint +1|Narita Top Road bond +5||Bot::Energy +20|Skill points +10|Narita Top Road bond +5,2
narita_top_road,chain,rivals_know_best,(❯❯❯) Rivals Know Best,Energy -10|Speed +15|Stamina +15|Skill points +20|Firm Course Menace hint +1|Narita Top Road bond +5,3
narita_top_road,random,a_thorough_inspection,A Thorough Inspection,Top::Energy +20|Narita Top Road bond +5||Bot::Energy -10|Speed +25|Narita Top Road bond +5,1
narita_top_road,random,a_diligent_effort,A Diligent Effort,Top::Stamina +10|Narita Top Road bond +5||Bot::Up-Tempo hint +1|Narita Top Road bond +5,2
tosen_jordan,chain,leave_it_to_the_roomie,(❯) Leave It to the Roomie,Top::Speed +10|Stamina +5|Tosen Jordan bond +5||Bot::Energy +10|Tosen Jordan bond +5,1
tosen_jordan,chain,a_gal_s_gotta_glam,(❯❯) A Gal's Gotta Glam,A Gal's Gotta Glam|Speed +10|Skill points +10,2
tosen_jordan,chain,if_you_got_it_own_it,"(❯❯❯) If You Got It, Own It",!Randomly either|Energy -10|Speed +15|Breath of Fresh Air hint +3|!or|Energy -10|Speed +10|Straightaway Recovery hint +3,3
tosen_jordan,random,doomscrolling_the_time_away,Doomscrolling the Time Away,Top::Mood +1|Speed +5|Tosen Jordan bond +5||Bot::Stamina +10|Tosen Jordan bond +5,1
tosen_jordan,random,sponsored_posts_can_be_low_key_sus,Sponsored Posts Can Be Low-Key Sus,Top::Energy +10|Mood +1|Tosen Jordan bond +5||Bot::Lucky Seven hint +1|Tosen Jordan bond +5,2
matikanefukukitaru,chain,mystery_fortune_ritual,(❯) Mystery Fortune Ritual!,Top::!Randomly either|All stats +7|Matikanefukukitaru bond +7|!or|Wit +4|!Event chain ended||Bot::Energy +5|Matikanefukukitaru bond +5|!Event chain ended,1
matikanefukukitaru,chain,fortune_favors_the_friends,(❯❯) Fortune Favors the Friends!,Top::!Randomly either|All stats +7|Matikanefukukitaru bond +7|!or|Wit +4|!Event chain ended||Bot::Energy +5|Matikanefukukitaru bond +5|!Event chain ended,2
matikanefukukitaru,chain,finding_miraculous_joy,(❯❯❯) Finding Miraculous Joy!,!Randomly either|All stats +7|Skill points +77|Super Lucky Seven hint +3|Matikanefukukitaru bond +7|!or|All stats +7|Skill points +7|Super Lucky Seven hint +1|Matikanefukukitaru bond +7|!or|Skill points +7|Lucky Seven hint +3|Matikanefukukitaru bond +7,3
matikanefukukitaru,random,maximum_spirituality,Maximum Spirituality,Top::Wit +5|Skill points +15|Matikanefukukitaru bond +5||Bot::Energy -10|Speed +5|Stamina +5|Power +5|Matikanefukukitaru bond +5,1
matikanefukukitaru,random,when_piety_and_kindness_intersect,When Piety and Kindness Intersect,Top::Skill points +30|Matikanefukukitaru bond +5||Bot::Energy +20|Matikanefukukitaru bond +5,2
silence_suzuka,chain,guided_to_scenery,(❯) Guided to Scenery,Speed +15,1
silence_suzuka,chain,shared_scenery,(❯❯) Shared Scenery,Skill points +20,2
silence_suzuka,chain,the_scenery_ahead,(❯❯❯) The Scenery Ahead,Speed +15|Trackblazer hint +1,3
silence_suzuka,random,on_and_on,On and On,Top::Speed +10|Stamina +5|Silence Suzuka bond +5||Bot::Speed +15|Silence Suzuka bond +5,1
silence_suzuka,random,what_should_i_do,What Should I Do?,Top::Speed +5|Stamina +5|Wit +5|Silence Suzuka bond +5||Bot::Left-Handed ○ hint +1|Silence Suzuka bond +5,2
mayano_top_gun,chain,just_because,(❯) Just Because ♪,Top::!Randomly either|Mood +1|Speed +20|Guts +10|Head-On hint +1|Mayano Top Gun bond +5|!or|Energy -10|Mood +1|Guts +10|Mayano Top Gun bond +5||Mid::Wit +15|Mayano Top Gun bond +5||Bot::Energy +20|Stamina +10|Competitive Spirit ○ hint +1|!Event chain ended,1
mayano_top_gun,chain,a_wonderful_weekend,(❯❯) A Wonderful Weekend ♪,Speed +10|Guts +5,2
mayano_top_gun,chain,special_gifts_for_a_special_day,(❯❯❯) Special Gifts for a Special Day ♪,Energy +10|Speed +10|Guts +5|Restless hint +1|Mayano Top Gun bond +5,3
mayano_top_gun,random,snack_advice_for_mayano,Snack Advice for Mayano!,Top::Stamina +5|Guts +5|Mayano Top Gun bond +5||Bot::Stamina +10|Mayano Top Gun bond +5,1
mayano_top_gun,random,fashion_advice_for_mayano,Fashion Advice for Mayano!,Top::Straightaway Adept hint +1|Mayano Top Gun bond +5||Bot::Stamina +10|Mayano Top Gun bond +5,2
zenno_rob_roy,chain,the_bookworm_and_the_secret_meeting,(❯) The Bookworm and the Secret Meeting,(›) The Bookworm and the Secret Meeting(››) The Bookworm and the Mage's Event(›››) The Bookworm and Her Froggy Friend|(›)|The Bookworm and the Secret Meeting|Skill points +15,1
zenno_rob_roy,chain,the_bookworm_and_the_mage_s_event,(❯❯) The Bookworm and the Mage's Event,Top::Stamina +5|Right-Handed ○ hint +2|Zenno Rob Roy bond +5||Mid::Speed +5|Left-Handed ○ hint +2|Zenno Rob Roy bond +5||Bot::Wit +30|Zenno Rob Roy bond +5,2
zenno_rob_roy,chain,the_bookworm_and_her_froggy_friend,(❯❯❯) The Bookworm and Her Froggy Friend,Skill points +20|Lie in Wait hint +1,3
zenno_rob_roy,random,book_lover_quirks,Book-lover Quirks,Top::Speed +5|Wit +5|Zenno Rob Roy bond +5||Bot::Energy +10|Power +5|Zenno Rob Roy bond +5,1
zenno_rob_roy,random,a_tale_entrusted,A Tale Entrusted,Top::Stamina +10|Wit +10|Zenno Rob Roy bond +5||Bot::Medium Straightaways ○ hint +1|Zenno Rob Roy bond +5,2
sweep_tosho,chain,fickle_genius_magical_girl_sweepy,(❯) Fickle Genius Magical Girl Sweepy ☆,Top::!Randomly either|Mood +1|Straightaway Spurt hint +2|Sweep Tosho bond +5|!or|Mood -1|Wit +5|Sweep Tosho bond +5||Bot::Skill points +15|Sweep Tosho bond +5,1
sweep_tosho,chain,a_drop_of_black_magic,(❯❯) A Drop of Black Magic ☆,Top::!Randomly either|Energy +10|Skill points +20|Sweep Tosho bond +5|!or|Energy -10|Skill points +15|Sweep Tosho bond +5||Bot::Wit +10|Sweep Tosho bond +5,2
sweep_tosho,chain,her_mood_like_a_flower,(❯❯❯) Her Mood Like a Flower ☆,Speed +5|Wit +5|Crusader hint +1,3
sweep_tosho,random,miracle_escape,Miracle ☆ Escape!,Top::Energy +10|Speed +5|Sweep Tosho bond +5||Bot::Energy -10|Speed +20|Sweep Tosho bond +5,1
sweep_tosho,random,wonderful_mistake,Wonderful ☆ Mistake!,Top::!Randomly either|Energy -15|Skill points +40|!or|Energy -20|Skill points +40|Sweep Tosho bond +5||Bot::Get Charming ○ status|Sweep Tosho bond +5,2
narita_brian,chain,brian_the_race_planner,"(❯) Brian, the Race Planner","Maximum Energy +4|Speed +5",1
narita_brian,chain,only_a_sister_knows,(❯❯) Only a Sister Knows,"Energy -10|Speed +20",2
narita_brian,chain,running_for_the_dream,(❯❯❯) Running for the Dream,"Energy -10|Speed +20|Shatterproof hint +1",3
narita_brian,random,student_council_member,Student Council Member!,Top::Mood +1|Speed +5|Narita Brian bond +5||Bot::Maximum Energy +4|Narita Brian bond +5,1
narita_brian,random,lone_wolf,Lone Wolf,Lone Wolf hint +1|Narita Brian bond +5,2
gold_ship,chain,raising_the_uma_lord_s_castle,(❯) Raising the Uma Lord's Castle,Top::Maximum Energy +4|Gold Ship bond +5||Bot::Speed +10|Gold Ship bond +5,1
gold_ship,chain,plotting_the_uma_lord_s_dungeon,(❯❯) Plotting the Uma Lord's Dungeon,Energy -15|Speed +5|Stamina +5|Long Straightaways ○ hint +1,2
gold_ship,chain,assembling_the_uma_lord_s_minions,(❯❯❯) Assembling the Uma Lord's Minions,Top::!Randomly either|Energy -10|Speed +5|Stamina +5|Inside Scoop hint +3|Gold Ship bond +5|!or|Energy -10|Speed +10|Stamina +10|Innate Experience hint +3|Gold Ship bond +5||Bot::Energy +10|Maverick ○ hint +1,3
gold_ship,random,adventurer_gold_ship,Adventurer Gold Ship,Top::Stamina +15|Gold Ship bond +5||Bot::Guts +10|Skill points +15|Gold Ship bond +5,1
gold_ship,random,revive_the_brand_golshi_s_yakisoba,Revive the Brand! Golshi's Yakisoba,Top::Stamina +5|Mood +1|Gold Ship bond +5||Bot::Hanshin Racecourse ○ hint +1|Gold Ship bond +5,2
kawakami_princess,chain,modestly_boldly,(❯) Modestly! Boldly!,Top::Mood +1|Speed +5|Kawakami Princess bond +5||Bot::Skill points +10|Tether hint +1|Kawakami Princess bond +5,1
kawakami_princess,chain,princess_power_to_the_max,(❯❯) Princess Power ☆ to the Max!,Speed +5|Guts +5,2
kawakami_princess,chain,hit_it_princess_road,(❯❯❯) Hit It! Princess Road!,Top::Speed +15|Guts +15|Center Stage hint +1|Kawakami Princess bond +5||Bot::Energy +25|Skill points +25,3
kawakami_princess,random,princess_punch,Princess Punch!,Top::Guts +10|Kawakami Princess bond +5||Bot::Mood +1|Kawakami Princess bond +5,1
kawakami_princess,random,princess_escape,Princess Escape!,Top::Energy +10|Kawakami Princess bond +5||Bot::Steadfast hint +1|Kawakami Princess bond +5,2
kitasan_black,chain,chasing_brilliance,(❯) Chasing Brilliance,Mood +1|Speed +2|Power +2|Wit +2|Kitasan Black bond +5,1
kitasan_black,chain,paying_it_forward,(❯❯) Paying It Forward,Top::Energy +10|Mood +1|Kitasan Black bond +5||Bot::Speed +5 / +10|Straightaway Adept hint +1/+3|Kitasan Black bond +5,2
kitasan_black,chain,we_walk_together,(❯❯❯) We Walk Together,!Randomly either|Speed +5|Power +5|Kitasan Black bond +5|Professor of Curvature hint +1|!or|Speed +10|Power +10|Kitasan Black bond +5|Professor of Curvature hint +3,3
kitasan_black,random,ah_friendship,"Ah, Friendship",Top::Mood +1|Power +5|Kitasan Black bond +5||Bot::Energy +10|Kitasan Black bond +5,1
kitasan_black,random,ah_home_sweet_home,"Ah, Home Sweet Home",Top::Speed +5|Power +10|Kitasan Black bond +5||Bot::Get Practice Perfect ○ status|Kitasan Black bond +5,2
twin_turbo,chain,i_m_not_afraid,(❯) I'm Not Afraid!,Top::!Randomly either|Speed +10|Twin Turbo bond +5|!or|Energy -10|Speed +10|!Event chain ended||Bot::Energy +20|!Event chain ended,1
twin_turbo,chain,can_t_catch_me,(❯❯) Can't Catch Me!,Top::!Randomly either|Speed +15|Leader's Pride hint +3|Twin Turbo bond +5|!or|Energy -10|Speed +10|!Event chain ended||Bot::Energy +25|!Event chain ended,2
twin_turbo,chain,turbo_is_strong,(❯❯❯) Turbo Is Strong!,Top::!Randomly either|Energy -10|Speed +5|Early Lead hint +3|!or|Energy -10|Speed +25|Taking the Lead hint +3|Twin Turbo bond +5||Bot::Energy +15|Watchful Eye hint +3,3
twin_turbo,random,just_start_running,Just Start Running!,Top::Speed +20|Mood -1||Bot::Energy -10|Power +20|Twin Turbo bond +5,1
twin_turbo,random,i_m_all_fired_up,I'm All Fired Up!,Top::Energy +15|Twin Turbo bond +5||Bot::Early Lead hint +1|Twin Turbo bond +5,2
special_week,chain,someday_i_ll_be_just_like_her,"(❯) Someday I'll Be Just Like Her!",Energy +10|Speed +5,1
special_week,chain,just_a_little_closer,(❯❯) Just a Little Closer,Top::Energy -10|Speed +15|Special Week bond +5||Mid::Energy -10|Skill points +20|Special Week bond +5||Bot::Energy -10|Shake It Out hint +1|Special Week bond +5,2
special_week,chain,forms_of_aspiration,(❯❯❯) Forms of Aspiration,!Randomly either|Energy +10|Speed +5|Hydrate hint +1/+3|!or|Energy +10|Speed +10|Skill points +10|Gourmand hint +3,3
special_week,random,watch_where_you_re_going,Watch Where You're Going!,Top::Extra Tank hint +1|Special Week bond +5||Bot::Guts +15|Special Week bond +5,1
special_week,random,so_many_options,So Many Options!,Top::Energy +10|Mood +1|Special Week bond +5||Bot::Energy -10|Stamina +15|Skill points +15|Special Week bond +5,2
silence_suzuka_ssr02,chain,letters,(❯) Letters → ?,"Speed +10|Restart hint +1|Silence Suzuka bond +5",1
silence_suzuka_ssr02,chain,letters_feelings,(❯❯) Letters → Feelings → ?,"Speed +10|Power +10|Mood +1|Focus hint +1|Silence Suzuka bond +5",2
silence_suzuka_ssr02,chain,letters_feelings_wait_for_me_okay,"(❯❯❯) Letters → Feelings → Wait for Me, Okay?","Speed +10|Unrestrained hint +2|Silence Suzuka bond +5",3
silence_suzuka_ssr02,random,on_and_on,On and On,Top::Speed +10|Stamina +5|Silence Suzuka bond +5||Bot::Speed +15|Silence Suzuka bond +5,1
silence_suzuka_ssr02,random,what_should_i_do,What Should I Do?,Top::Speed +5|Stamina +5|Wit +5|Silence Suzuka bond +5||Bot::Left-Handed ○ hint +1|Silence Suzuka bond +5,2
tokai_teio,chain,premonitions_of_a_performer,(❯) Premonitions of a Performer,Energy +10|Speed +5,1
tokai_teio,chain,short_interlude,(❯❯) Short Interlude,Energy +10|Speed +5|Wit +5,2
tokai_teio,chain,legendary_act,(❯❯❯) Legendary Act,Energy +10|Speed +5|Rushing Gale! hint +1|Tokai Teio bond +5,3
tokai_teio,random,my_way_or,"My Way, Or...",Top::Mood +1|Skill points +15|Tokai Teio bond +5||Bot::Guts +15|Tokai Teio bond +5,1
tokai_teio,random,my_weapon,My Weapon,Top::Mood +1|Guts +10|Tokai Teio bond +5||Bot::Pace Chaser Straightaways ○ hint +1|Tokai Teio bond +5,2
gold_city,chain,pride,(❯) Pride,Energy +20|Mood +1|Go with the Flow hint +1|Gold City bond +5,1
gold_city,chain,struggle,(❯❯) Struggle,Energy +20|Speed +10|Stamina +10|Gold City bond +5,2
gold_city,chain,one_step,(❯❯❯) One Step,Energy +10|Speed +10|Stamina +10|Keen Eye hint +2|Gold City bond +5,3
gold_city,random,08_36_crap_i_overslept,"08:36 / Crap, I Overslept",Top::Mood -1|Skill points +45|Gold City bond +5||Bot::Energy +10|Wit +5|Gold City bond +5,1
gold_city,random,13_12_lunch_break_gotta_get_myself_together,"13:12 / Lunch Break Gotta Get Myself Together",Top::Skill points +30|Gold City bond +5||Bot::A Small Breather hint +1|Gold City bond +5,2
